,eventDescription,eventTime,eventType,simulationId,truckId,deliverTime
13021,"Packet 78 to (calle del Poeta Blas de Otero, 22, Madrid, [-3.6532859651416985,40.420408352130664])",872250,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,0.0
13112,"Packet 79 to (calle del Poeta Blas de Otero, 22, Madrid, [-3.6532859651416985,40.420408352130664])",992820,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,120570.0
13566,"Packet 50 to (calle de Valdecanillas, 59, Madrid, [-3.6235603609007043,40.43347345612278])",1536120,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,60600.0
13614,"Packet 51 to (calle de Valdecanillas, 59, Madrid, [-3.6235603609007043,40.43347345612278])",1596720,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,60600.0
13666,"Packet 52 to (calle de Valdecanillas, 59, Madrid, [-3.6235603609007043,40.43347345612278])",1657320,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,60600.0
14013,"Packet 23 to (avda de la Institución Libre de Enseñanza, 194, Madrid, [-3.624758502708716,40.418980433169864])",2089920,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,120600.0
14419,"Packet 21 to (bulev de José Prat, 5, Madrid, [-3.6233859044716414,40.400528243523254])",2629320,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,120600.0
14835,"Packet 58 to (avda de la Albufera, 432, Madrid, [-3.630286273179001,40.382283437657705])",3148920,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,60600.0
14913,"Packet 59 to (avda de la Albufera, 432, Madrid, [-3.630286273179001,40.382283437657705])",3269520,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,120600.0
14966,"Packet 60 to (avda de la Albufera, 432, Madrid, [-3.630286273179001,40.382283437657705])",3330120,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,60600.0
15084,"Packet 61 to (avda de la Albufera, 432, Madrid, [-3.630286273179001,40.382283437657705])",3450720,Truck ended delivering,007f3d08-14a7-4a93-af9e-f0d9cfbcea94,3321FBL,120600.0
