truckId,simulationId,tiempo
0013DYS,04e06e2f-d6d4-4364-aedc-d3f98fa1017a,"[612570.0, 94410.0, 186540.0, 389550.0, 227190.0, 170580.0, 406080.0]"
0013DYS,0a0705b9-6b0f-4a69-b25b-668b596041c4,"[806040.0, 135840.0, 173910.0, 1780560.0, 1694190.0, 152880.0, 731280.0]"
0013DYS,0f8f5823-99dc-4511-9951-c9f6b4c8696e,"[3658500.0, 3566040.0]"
0013DYS,173ebd26-a1a9-4798-a4a0-f2b5f763dcae,"[1547550.0, 1227360.0, 1887300.0, 940020.0, 245010.0, 144720.0, 159210.0, 603390.0]"
0013DYS,1a73cac3-f12d-4e06-a215-c69c2a6ea856,"[704190.0, 312750.0, 76680.0, 2407860.0, 2109570.0, 601920.0]"
0013DYS,2291b8d8-db1c-4320-812f-2a5c06a5291b,"[3738930.0, 3639810.0]"
0013DYS,27f24f6d-599b-4857-9213-0b2170055034,"[2295120.0, 420210.0, 1558530.0, 731160.0, 2284440.0, 228750.0]"
0013DYS,35639c90-2e65-4da6-abb4-9f23ff5e94f0,"[1857480.0, 1054590.0, 2160210.0, 351150.0, 310860.0]"
0013DYS,381d92f4-7695-46c2-aff1-49c5abb0723b,"[1353360.0, 622080.0, 462450.0, 487980.0, 867120.0, 1833060.0, 242850.0, 852660.0]"
0013DYS,4a5ab221-44c2-4c15-beff-aca1fc357c3a,"[555420.0, 1664190.0, 1006590.0, 959160.0, 858060.0]"
0013DYS,54cfa245-a633-4505-86a5-e47ef018fb8c,"[2191800.0, 1490790.0, 913620.0, 1273050.0]"
0013DYS,5817b5aa-56fb-413f-be71-27dcce8adca3,"[747990.0, 264420.0, 111660.0, 701490.0, 149220.0, 506850.0]"
0013DYS,5bd040a5-cf27-4ffd-af6a-4afa44a7eecc,"[2028240.0, 1791570.0, 132540.0, 86310.0, 490140.0]"
0013DYS,5d239b9a-3bac-46bd-b19a-7ef590c0a2db,"[1608780.0, 825720.0, 1443090.0, 262110.0, 322980.0, 422820.0]"
0013DYS,6f5b7b1e-74c4-4c9a-a3b0-cb32fa412dec,"[467580.0, 326790.0, 442980.0, 532950.0, 213810.0, 535650.0, 135780.0, 186480.0, 392490.0, 594390.0]"
0013DYS,77227d86-31d7-4575-b55c-c88e6e389c0e,"[370110.0, 314550.0, 1682730.0, 1228620.0, 812220.0, 1591200.0]"
0013DYS,7ab9795c-ae20-467b-a4b3-2dd62077bcf5,"[3714150.0, 3730020.0]"
0013DYS,7b2a7ee6-05a9-4a7b-bda0-a089ee2d58ec,"[1033140.0, 274620.0, 1778160.0, 1433550.0, 720480.0, 458820.0, 339450.0]"
0013DYS,81acb266-ab82-497b-92d9-fae490cc4823,"[4896480.0, 4876620.0]"
0013DYS,83317ce9-22cf-4007-9aeb-0b1bb34e3229,"[188190.0, 227580.0, 335250.0, 321750.0, 544050.0]"
0013DYS,864bd9f3-074d-45e8-a032-5a01237ae290,"[2548560.0, 2347020.0, 119490.0]"
0013DYS,87cbff75-1caa-4068-a786-21468b9488b8,"[332370.0, 266310.0, 309420.0, 241680.0, 1545900.0, 449610.0, 696120.0]"
0013DYS,89e2794a-f385-45c2-a9be-d8cb5f293c72,"[408540.0, 499920.0, 91740.0, 593280.0, 498120.0, 678090.0, 1200690.0, 642180.0, 1489890.0]"
0013DYS,8a1157ba-b8fc-4a05-9a47-6c63f4ed2005,"[761670.0, 313890.0, 251310.0, 727920.0, 591690.0, 432180.0]"
